93.4426,88.7049,0.000664233,2.1669e-05
93.4426,88.7049,0.000903388,5.1668e-05
146.248,144.257,0.00163444,7.6378e-05
146.061,139.289,0.000821306,3.0218e-05
146.061,139.289,0.000908567,3.5804e-05
138.43,130.61,0.00311445,0.000123159
138.43,130.61,0.00152476,6.5505e-05
148.996,138.131,0.00343198,0.000145082
148.996,138.131,0.00392522,0.000194707
148.996,138.131,0.00510733,0.000191625
148.996,138.131,0.00476441,0.000143215
104.03,101.349,0.00300813,9.4258e-05
149.44,141.385,0.00140986,7.0033e-05
149.44,141.385,0.00518984,0.000279038
135.551,130.197,0.00767663,8.2434e-05
135.551,130.197,0.00738037,7.7461e-05
